field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID_EGSF22,F36,F45,ZA,ID_EGSFIR,Mstar,Fch1,dFch1,Fch2,dFch2,Fch3,dFch3,Fch4,dFch4,F24,dF24,Q24,F100,dF100,Q100,F160,dF160,Q160,F250,dF250,F350,dF350,F450,dF450,F500,dF500,F850_sh,dF850_sh,F850_d,dF850_d,F850,dF850,F1100,dF1100
miri6,215.047549,52.896541,1.159,0.07,0.609,0.036,,,,,,,,,,,6028.0,2287.315440532311,1775.3328766159555,0.6100000000000003,2428,8.61,1.929,0.1215,1.422,0.1466,-0.01007,0.8461,-1.299,0.8267,10.11,7.0601,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.040792,52.892502,0.037,0.024,0.039,0.018,,,,,,,,,,,5998.0,308.5421688233906,342.9947142564841,0.6900000000000004,2435,7.99,0.3937,0.1282,0.3383,0.1503,0.09065,0.9307,-1.543,0.8875,9.304,10.464,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.033145,52.887357,0.013,0.01,0.027,0.011,,,,,,,,,,,6098.0,146.99744586787264,143.11955207661737,0.4200000000000002,2468,8.31,0.2346,0.1315,0.1278,0.1489,-0.419,0.8582,-0.8189,0.8099,16.82,10.204,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.037784,52.88916,1.807,0.074,1.946,0.04,,,,,,,,,,,6087.0,3164.6217145292057,2721.185616293938,0.46000000000000024,2476,8.6,2.403,0.176,2.279,0.203,0.6607,1.233,2.379,1.132,42.17,7.949,3,-0.3068,1.1554,3,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.042006,52.892652,0.372,0.065,0.25,0.042,,,,,,,,,,,6149.0,1315.790992160744,1024.0724614233322,0.6800000000000004,2497,8.63,1.081,0.1322,0.7625,0.1541,0.01813,0.9126,-0.2937,0.8978,9.929,5.4475,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.03091,52.885652,0.162,0.028,0.155,0.018,,,,,,,,,,,6047.0,-844.8504942468414,-212.0716264510273,0.01,2504,9.27,0.302,0.1392,0.7536,0.156,-0.2881,0.8924,-0.05304,0.8215,-0.9942,12.833,2,-99.0,100000000.0,1,0.1707,3.4291,2,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.050212,52.898589,2.752,0.049,2.646,0.03,,,,,,,,,,,6157.0,4252.632515187007,4750.346261172205,1.400000000000001,2510,9.77,3.539,0.1186,3.864,0.1428,2.718,0.8441,3.707,0.8241,3.869,8.9192,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,1.2949,2.0555
miri6,215.037789,52.890256,0.159,0.031,0.154,0.021,,,,,,,,,,,6124.0,709.7834008665351,557.0290216264075,3.319999999999973,2513,9.13,0.6459,0.1422,0.661,0.1658,-0.7212,1.021,-0.5097,0.9444,0.6603,9.6324,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.056562,52.900233,7.042,0.091,8.939,0.058,,,,,,,,,,,6412.0,11688.525897926434,10074.624345592343,0.4200000000000002,2517,9.04,10.48,0.137,8.887,0.1696,6.551,0.9468,7.286,0.9211,26.69,14.504,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.038662,52.891281,0.081,0.046,0.067,0.026,,,,,,,,,,,6196.0,320.13356169811215,191.9252752321264,0.17,2546,7.41,0.45,0.1271,0.2462,0.148,0.5902,0.8884,-0.2225,0.8551,13.79,14.276,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
