field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID,z_best,zbest,RA,DEC,IRAC_CH1_FLUX,IRAC_CH1_FLUXERR,IRAC_CH2_FLUX,IRAC_CH2_FLUXERR,IRAC_CH3_FLUX,IRAC_CH3_FLUXERR,IRAC_CH4_FLUX,IRAC_CH4_FLUXERR,IRAC_CH3_V08_FLUX,IRAC_CH3_V08_FLUXERR,Source,z,l_IRAC_58,f_IRAC_58,l_IRAC_80,f_IRAC_80,l_MIPS24,f_MIPS24,l_MIPS70,f_MIPS70,l_PACS_100,f_PACS_100,l_PACS_160,f_PACS_160,l_SPIRE_250,f_SPIRE_250,l_SPIRE_350,f_SPIRE_350,l_SPIRE_500,f_SPIRE_500
miri6,215.03091,52.885652,0.162,0.028,0.155,0.018,,,,,,,,,,,2504,2.995,2.995,215.0309516292,52.885672461,0.301976889,0.139203966,0.753571391,0.155976117,-0.288068354,0.892407596,-0.473127246,0.7756356,-0.987087309,1.04550683,2504,3.0,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.050212,52.898589,2.752,0.049,2.646,0.03,,,,,,,,,,,2510,1.26,1.26,215.0502474687,52.8986070543,3.53902173,0.118581168,3.86369729,0.142821506,2.71751189,0.844060421,3.37155509,0.766214907,3.20702672,0.983058393,2510,1.26,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.037789,52.890256,0.159,0.031,0.154,0.021,,,,,,,,,,,2513,2.051,2.051,215.0377882545,52.8902697528,0.645935893,0.142150089,0.661019266,0.165842086,-0.721178114,1.02133322,-0.734812677,0.9295066,-1.12004197,1.22882307,2513,2.05,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.056562,52.900233,7.042,0.091,8.939,0.058,,,,,,,,,,,2517,0.353,0.353,215.0565973511,52.9002517669,10.4774923,0.136994392,8.88687992,0.169600531,6.55103683,0.946798027,6.18310261,0.861468375,6.9317708,1.10191178,2517,0.35,0.0,0.0,7.92698,6.1835,23.844,50.0,0.0,0.0,102.252,4998.2,165.607,3659.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.038662,52.891281,0.081,0.046,0.067,0.026,,,,,,,,,,,2546,0.27,0.27,215.0387061785,52.8912956735,0.450019181,0.127051249,0.246179178,0.147989392,0.590237975,0.88837868,-0.239703849,0.80703783,0.570093334,1.04147792,2546,0.27,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.032055,52.886567,0.441,0.034,0.471,0.024,,,,,,,,,,,2566,2.303,2.303,215.0321072192,52.8865821139,0.908876777,0.135153055,0.697194397,0.153157279,0.761467397,0.878306329,0.815411747,0.769355118,0.799742222,1.02737665,2566,2.3,0.0,0.0,0.0,0.0,23.844,50.0,72.4937,732.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.056648,52.902265,7.103,0.081,3.533,0.05,,,,,,,,,,,2568,0.524,0.524,215.0566824204,52.9022830123,11.6828222,0.132206947,7.17349195,0.159264773,3.54344201,0.946798027,0.964049101,0.875076056,2.41534233,1.1039263,2568,0.52,0.0,0.0,7.92698,0.96411,23.844,50.0,72.4937,3414.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.054274,52.902943,0.093,0.023,0.058,0.02,,,,,,,,,,,2593,3.433,3.433,215.0543030518,52.9029676582,0.846271813,0.127787769,0.785988092,0.153157279,1.39400911,1.05759358,-0.602923214,0.969282806,0.932696879,1.27717018,2593,3.43,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.044739,52.896358,0.02,0.011,0.017,0.01,,,,,,,,,,,2600,2.21,2.21,215.0447562713,52.8963759241,0.269937843,0.120422482,0.293159932,0.142821506,-0.350516737,0.902479827,-0.288900703,0.861468375,-0.668802023,1.07773829,2600,2.21,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.04495,52.895046,3.366,0.087,2.513,0.055,,,,,,,,,,,2601,1.258,1.258,215.0449846349,52.8950614874,3.95552897,0.145096213,3.4653008,0.172419384,0.713120222,1.06766593,0.687709332,1.02580678,1.78078616,1.26709783,2601,1.26,0.0,0.0,0.0,0.0,23.844,50.0,72.4937,1429.9,0.0,0.0,0.0,0.0,253.13,9121.7,0.0,0.0,0.0,0.0
miri6,215.048283,52.89805,0.307,0.038,0.135,0.026,,,,,,,,,,,2606,0.593,0.593,215.0483258206,52.8980675522,0.681657553,0.17566216,0.470747173,0.212822825,-0.344473362,1.33357525,-1.19537902,1.33040869,-0.527789593,1.64984608,2606,0.59,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.027985,52.884082,0.081,0.045,0.042,0.027,,,,,,,,,,,2612,0.077,0.077,215.0280440558,52.8840993919,0.541348815,0.140308768,0.0648334473,0.156445935,0.29209727,0.876291811,-0.781916022,0.749467015,-0.709091306,1.0152899,2612,0.08,5.73854,0.29211,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.052951,52.901023,2.484,0.069,1.469,0.044,,,,,,,,,,,2622,1.93,1.93,215.0529938029,52.9010538487,2.67801929,0.124473393,2.86676574,0.149868622,2.53218126,0.918595612,0.463706583,0.787149727,2.1192162,1.05759358,2622,1.93,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.044535,52.894589,6.563,0.077,6.045,0.049,,,,,,,,,,,2657,1.22595,1.183,215.0446033435,52.8946313239,11.5344124,0.153566301,9.46239471,0.182755142,4.64535379,1.13817215,3.47622919,1.08233094,1.73042464,1.35170543,2657,1.18,0.0,0.0,0.0,0.0,23.844,50.0,72.4937,1429.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.045667,52.89731,1.464,0.053,1.078,0.036,,,,,,,,,,,2753,1.055,1.055,215.0457083976,52.8973302476,2.66697145,0.117476366,2.13668489,0.140002653,0.535847425,0.876291811,0.955675185,0.812271535,0.465341181,1.01931882,2753,1.06,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.043036,52.895897,0.263,0.036,0.233,0.022,,,,,,,,,,,2756,3.725,3.725,215.043079765,52.895918916,0.518884659,0.125578195,0.556721985,0.146579966,0.531818509,0.995145261,-0.230283171,0.93997401,0.257851392,1.19659162,2756,3.73,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.035392,52.890662,0.218,0.032,0.212,0.017,,,,,,,,,,,2763,8.021,8.021,215.0354284964,52.890677904,0.532142162,0.125578195,1.21163368,0.143761113,0.846074879,0.922624528,0.583035111,0.823785663,0.241735682,1.08781064,2763,8.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.041932,52.895424,0.013,0.013,0.012,0.01,,,,,,,,,,,2774,1.616,1.616,215.0419819344,52.8954396305,0.217644304,0.116371572,0.111814208,0.134834766,-0.193388551,0.892407596,-1.03732097,0.808084607,-0.348502278,1.04752135,2774,1.62,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.036672,52.890812,8.767,0.062,6.04,0.033,,,,,,,,,,,2781,1.464,1.464,215.0367104706,52.8908307412,8.35518456,0.147674054,9.56011391,0.17194958,7.02846479,1.1260854,4.02158165,1.02790034,8.05785656,1.3678211,2781,1.46,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
